case_id,case_text_value_type,case_text,case_source,case_type,case_transaction_type,case_status,case_priority_level,date_time_created,date_time_closed,customer_tier
C00001,Single message,"Hello, BPI! Hindi ko po makita yung bagong credit card ko sa BPI online banking. Paano po kaya?",Email,Credit Cards,Complaint,New,High,2024-01-25 08:30:00+08:00,,Mid
C00002,User-chatbot conversation,"['User: I want to apply for a personal loan.', 'Chatbot: Great! Do you have an existing BPI account?', 'User: Yes, I do.', 'Chatbot: Please provide your account number.', 'User: 1234567890', 'Chatbot: Thank you. Please wait while I check your eligibility.']",Phone,Loans,Inquiry,Assigned,High,2024-01-26 14:15:00+08:00,,High
C00003,Multiple messages,"['Bakit po ang tagal bago mag-reflect yung transfer ko sa BPI savings account ko?', 'I transferred it yesterday pa po.', 'Pwede po ba paki-check? Urgent po kasi.']",Facebook,Deposits,Complaint,Assigned,High,2024-01-27 09:00:00+08:00,,Low
C00004,Single message,Good day! I would like to inquire about the interest rates for time deposits. Thanks!,Email,Deposits,Inquiry,Closed,Medium,2024-01-28 11:45:00+08:00,2024-01-28 12:00:00+08:00,Mid
C00005,Single message,Di ko po ma-access yung BPI mobile app ko. Laging error. Paano po ba to?,Facebook,Deposits,Complaint,New,High,2024-01-29 16:20:00+08:00,,Low
C00006,Single message,"Hi, BPI! I forgot my online banking password. How can I reset it?",Email,Deposits,Request,New,High,2024-02-01 10:00:00+08:00,,Mid
C00007,User-chatbot conversation,"['User: Gusto ko sanang mag-inquire about sa auto loan.', 'Chatbot: Good day! Are you an existing BPI client?', 'User: Yes po.', 'Chatbot: Please provide your Customer Number.', 'User: 9876543210', 'Chatbot: Thank you. Please wait while I retrieve your details.']",Phone,Loans,Inquiry,Assigned,Medium,2024-02-02 13:30:00+08:00,,High
C00008,Multiple messages,"['Ilang days po bago ma-credit yung points sa BPI credit card ko?', 'Nag-purchase ako last week pa.', 'Sana ma-credit na agad para magamit ko.']",Facebook,Credit Cards,Inquiry,New,High,2024-02-03 08:45:00+08:00,,Low
C00009,Single message,I want to close my BPI savings account. What are the requirements?,Branch,Deposits,Request,Closed,Low,2024-02-04 11:15:00+08:00,2024-02-04 12:00:00+08:00,Mid
C00010,Single message,Hindi ko po magamit yung credit card ko online. Laging declined. Paki-check po.,Facebook,Credit Cards,Complaint,New,High,2024-02-05 14:20:00+08:00,,Low
C00011,Single message,"Hello po, I'd like to inquire about the requirements for a personal loan. Salamat po!",Email,Loans,Inquiry,New,Medium,2024-03-10 09:15:00+08:00,,Mid
C00012,User-chatbot conversation,"[""User: I can't seem to access my online banking account."", ""Chatbot: I'm sorry to hear that. Can you please provide your username?"", 'User: myusername123', 'Chatbot: Thank you. Please wait while I verify your account.', 'Chatbot: For security purposes, we will send an OTP to your registered mobile number.']",Phone,Deposits,Complaint,Assigned,High,2024-03-11 14:40:00+08:00,,High
C00013,Multiple messages,"['Hi, BPI! Did you receive my payment for my credit card?', 'I paid it through online banking yesterday.', ""Just want to make sure it's posted before the due date.""]",Facebook,Credit Cards,Inquiry,New,Medium,2024-03-12 11:00:00+08:00,,Low
C00014,Single message,Punta po ako sa branch ninyo mamaya para mag-open ng savings account.,Branch,Deposits,Request,Closed,Low,2024-03-13 10:30:00+08:00,2024-03-13 15:00:00+08:00,Mid
C00015,Single message,I want to request for a credit card limit increase. How do I do that?,Phone,Credit Cards,Request,New,High,2024-03-14 16:55:00+08:00,,Low
C00016,Single message,"Good morning, I'd like to know how to apply for a BPI Credit Card online. Thank you!",Email,Credit Cards,Inquiry,New,Medium,2024-04-01 08:00:00+08:00,,Mid
C00017,User-chatbot conversation,"[""User: Hi! I'm having trouble paying my credit card bill online."", ""Chatbot: I'm sorry to hear that. What seems to be the problem?"", ""User: It keeps saying 'Transaction Failed'."", 'Chatbot: Please check your internet connection and try again. If the problem persists, please call our hotline.']",Phone,Credit Cards,Complaint,Assigned,High,2024-04-02 13:15:00+08:00,,High
C00018,Multiple messages,"['Bakit hindi ko ma-withdraw yung pera ko sa ATM?', 'May laman naman yung account ko.', 'Paki-check naman po. Kailangan ko kasi ngayon.']",Facebook,Deposits,Complaint,New,High,2024-04-03 09:30:00+08:00,,Low
C00019,Single message,I want to apply for a housing loan. Can you help me with the requirements?,Branch,Loans,Inquiry,Closed,Medium,2024-04-04 11:45:00+08:00,2024-04-04 16:00:00+08:00,Mid
C00020,Single message,May I know the status of my loan application? Ref number is 123456.,Phone,Loans,Inquiry,New,Medium,2024-04-05 14:00:00+08:00,,Low
C00021,Single message,Hi BPI! I lost my credit card. How do I report it?,Email,Credit Cards,Request,New,High,2024-05-06 16:20:00+08:00,,Mid
C00022,User-chatbot conversation,"[""User: Hello, I deposited money in my account but it hasn't reflected yet."", 'Chatbot: Hi! Can you please provide the deposit slip details?', ""User: I don't have it with me right now."", 'Chatbot: Please provide your account number so we can check.', 'User: 1234-5678-90', 'Chatbot: Please wait while I access your account details.']",Phone,Deposits,Complaint,Assigned,High,2024-05-07 10:45:00+08:00,,High
C00023,Multiple messages,"['Gusto ko pong mag-apply for a personal loan.', 'Ano po yung requirements?', 'And how much interest rates?']",Facebook,Loans,Inquiry,New,Medium,2024-05-08 08:00:00+08:00,,Low
C00024,Single message,I would like to request for a statement of account for my credit card.,Branch,Credit Cards,Request,Closed,Medium,2024-05-09 14:00:00+08:00,2024-05-09 15:30:00+08:00,Mid
C00025,Single message,I accidentally transferred funds to the wrong BPI account. What should I do?,Phone,Deposits,Complaint,New,High,2024-05-10 11:15:00+08:00,,Low
C00026,Single message,"Hi, BPI! I want to inquire about your latest credit card promos.",Email,Credit Cards,Inquiry,New,Medium,2024-06-17 09:45:00+08:00,,Mid
