TranscriptionId	Channel	StartTime	SegmentDuration	Transcription	RecordingId
338235	2	0:03:19.795	00:00:15.855	[n_s/] [filler/] [eng_start/] Okay [eng_end/] po sige magpa- magpaparehistro na lang din po ako sa para sa bagong [eng_start/] subscription [eng_end/] at natanggap ko na din po pala yung [eng_start/] email [eng_end/]	f60f43d3-6ab5-48c4-8eb1-ac2061e3661d
338237	2	0:03:47.650	00:00:3.980	[n_s/] [filler/] Wala naman po Yun lamang po lahat Maraming salamat po	f60f43d3-6ab5-48c4-8eb1-ac2061e3661d
305441	1	0:01:51.693	00:00:12.606	[n_s/] [filler/] sige sige mabuti naman po at ang presyo po nito [filler/] [eng_start/] miss [eng_end/] "Catherine" ay [filler/] [eng_start/] two thousand pesos [eng_end/] po at [filler/] ito po ay idaragdag [filler/] sa kasalukuyang [eng_start/] plan [eng_end/] niyo po	c286961d-ae39-47ee-b3f2-638e83b26080
305675	2	0:02:07.811	00:00:7.613	[n_s/] [eng_start/] Okay [eng_end/] lang naman yun "Karen" kaya lang kasi kailangan na ngayon ng isa sa mga membro ng pamilya ko yung [eng_start/] package [eng_end/] na yan [n_s/]	bb02ec34-8c9d-4b42-aeac-dcba0840c77b
338229	2	0:02:30.669	00:00:6.786	[filler/] Opo opo [n_s/]	f60f43d3-6ab5-48c4-8eb1-ac2061e3661d
338238	1	0:03:52.631	00:00:10.446	[filler/] walang anuman po at maraming salamat din po sa pagtawag sa [eng_start/] "Telco [eng_end/] Pilipinas" [n_s/] at maraming salamat din po [filler/] magandang umaga po paalam po	f60f43d3-6ab5-48c4-8eb1-ac2061e3661d
338219	1	0:00:46.429	00:00:7.355	[filler/] Maraming salamat po at maaari niyo ba niyong kumpirmahin ang [eng_start/] address [eng_end/] ninyo na nasa [eng_start/] system [eng_end/]	f60f43d3-6ab5-48c4-8eb1-ac2061e3661d
305440	2	0:01:46.660	00:00:4.646	[filler/] [eng_start/] Okay [eng_end/] sige po [filler/] [eng_start/] so [eng_end/] sapat na po yun sa [eng_start/] credit [eng_end/] [n_s/] ko na po yun [n_s/]	c286961d-ae39-47ee-b3f2-638e83b26080
305449	1	0:03:12.088	00:00:13.546	[n_s/] [filler/] ito po ay mapapansin niyo sa [eng_start/] email [eng_end/] sa loob po ng sampung minuto lamang [eng_start/] ma'am [eng_end/] at [filler/] meron pa po ba akong ibang maitutulong sa inyo [eng_start/] miss [eng_end/] "Kathryn"	c286961d-ae39-47ee-b3f2-638e83b26080
331077	1	0:02:06.333	00:00:11.722	[filler/] Sa loob lamang po ng ilang araw maikakabit na po iyan gusto ko lang pong ipaalam sa inyo na mayron pong isang [filler/] beses na singil at yun po ay para po sa pagkakabit ng [eng_start/] landline [eng_end/]	8cf42327-97da-498d-a619-6c5bec59e5a3
305682	2	0:03:22.817	00:00:3.563	Magandang araw salamat at paalam [n_s/]	bb02ec34-8c9d-4b42-aeac-dcba0840c77b
331079	1	0:02:23.333	00:00:17.270	Naku hindi po [filler/] ang maipapayo ko po sa inyo ay maghanap nalang po ng teleponong mabibili sa [eng_start/] website [eng_end/] [filler/] meron po kaming listahan ng mga posibleng numero na pwede niyong pagpilian [filler/] kung gusto niyo ho [filler/] pwede po kayong pumili [eng_start/] online [eng_end/]	8cf42327-97da-498d-a619-6c5bec59e5a3
305433	1	0:00:45.823	00:00:7.871	[eng_start/] Okay [eng_end/] [filler/] sige po maraming salamat at ang huli po hihingin ko po at [filler/] na kumpirmahin po ninyo ang [eng_start/] address [eng_end/] na nasa [eng_start/] system [eng_end/] po namin	c286961d-ae39-47ee-b3f2-638e83b26080
305674	1	0:01:56.059	00:00:11.836	Naku kasi [filler/] [eng_start/] miss [eng_end/] "Torres" ang [filler/] magsisimula po kasi ang singil ng [eng_start/] package [eng_end/] kada buong buwan po [filler/] kaya kailangan niyo pong magbayad muna para sa kabuuan ng kasalukuyang buwan po	bb02ec34-8c9d-4b42-aeac-dcba0840c77b
305669	2	0:01:28.959	00:00:5.681	[filler/] [eng_start/] okay [eng_end/] naiintindihan ko [filler/] posible kayang baguhin ang [eng_start/] package [eng_end/] sa kalaunan	bb02ec34-8c9d-4b42-aeac-dcba0840c77b
305667	2	0:01:08.258	00:00:8.602	[n_s/] [filler/] Gusto kong malaman magkano kaya yung presyo nung pinakamaliit na [eng_start/] package [eng_end/]	bb02ec34-8c9d-4b42-aeac-dcba0840c77b
305670	1	0:01:34.465	00:00:6.824	Opo [filler/] [eng_start/] yes miss [eng_end/] "Torres" [filler/] pwede niyo naman po itong mapalitan ng mas malaking [eng_start/] package [eng_end/] sa kalaunan po	bb02ec34-8c9d-4b42-aeac-dcba0840c77b
305432	2	0:00:41.618	00:00:4.214	[filler/] "Abril" disi-sais isang libo siyam na raan walumput isa	c286961d-ae39-47ee-b3f2-638e83b26080
338232	1	0:02:49.980	00:00:10.003	Maraming salamat po ngayon ipapaliwanag ko po sa inyo [filler/] [eng_start/] Mister [eng_end/] "Salongga" na aabutin pa ng limang araw na may trabaho [filler/] para po sa pagsusuri ng telepono [filler/]	f60f43d3-6ab5-48c4-8eb1-ac2061e3661d
331085	2	0:03:19.920	00:00:2.040	[filler/] Sige maraming salamat [eng_start/] bye [eng_end/]	8cf42327-97da-498d-a619-6c5bec59e5a3
305434	2	0:00:50.481	00:00:6.417	[n_s/] [eng_start/] Okay [eng_end/] sige po [filler/] "Barangay Tatalon Quezon [eng_start/] City" [eng_end/] po	c286961d-ae39-47ee-b3f2-638e83b26080
305672	1	0:01:47.718	00:00:5.241	Ang [filler/] magsisimula po ang [filler/] bago nyo pong [eng_start/] subscription [eng_end/] sa susunod na buwan po	bb02ec34-8c9d-4b42-aeac-dcba0840c77b
338220	2	0:00:55.338	00:00:7.158	[eng_start/] Two three two A. [eng_end/] "Navy [eng_start/] Street [eng_end/] Merida Quezon [eng_start/] City" two two five six one [eng_end/] [n_s/]	f60f43d3-6ab5-48c4-8eb1-ac2061e3661d
331080	2	0:02:29.228	00:00:2.432	[filler/] Pwede ko bang piliin yung [eng_start/] phone [eng_end/] ma [eng_start/] phone number [eng_end/]	8cf42327-97da-498d-a619-6c5bec59e5a3
331075	1	0:01:31.782	00:00:27.182	[filler/] sige kung ganun po [filler/] para po sa halaga ng [eng_start/] landline service [eng_end/] na pwede nating idagdag sa inyong [eng_start/] account [eng_end/] ay ito po ay nagkakahalaga ng [eng_start/] five hundred pesos [eng_end/] gusto ko lang po ipaalam sa inyo ang halagang ito ay [filler/] maidadagdag po sa kasalukuyang [eng_start/] plan [eng_end/] na meron kayo yung tinatawag niyo nga pong [eng_start/] internet service [eng_end/] para po sa kabuuang halaga ng babayaran niyo aabot po ito ng [eng_start/] two thousand three hundred [eng_end/] kasama na po ang [eng_start/] landline [eng_end/] at ang [eng_start/] internet service [eng_end/]	8cf42327-97da-498d-a619-6c5bec59e5a3
305661	2	0:00:07.846	00:00:6.947	Magandang araw "Karen" [filler/] gusto ko sanang malaman kung pwede ba akong mag-apply para sa pampamilyang [eng_start/] package [eng_end/] [n_s/]	bb02ec34-8c9d-4b42-aeac-dcba0840c77b
305451	1	0:03:25.634	00:00:13.146	[filler/] [eng_start/] Okay [eng_end/] sige po maraming salamat din po sa pagtawag at [filler/] muli magandang araw po sa inyo [n_s/] paalam din po [n_s/]	c286961d-ae39-47ee-b3f2-638e83b26080
338230	1	0:02:32.877	00:00:11.884	[filler/] Sige po ngayon [filler/] ipapadala ko po ang [eng_start/] email [eng_end/] na naglalaman ng impormasyon kung paano niyo po ipapadala ang telepono at maaari ko po bang mahingi ang [eng_start/] email address [eng_end/] ninyo	f60f43d3-6ab5-48c4-8eb1-ac2061e3661d
305431	1	0:00:28.221	00:00:12.911	Sige maraming salamat ho at [filler/] hingin ko rin po ang buong pangalan po ninyo [n_s/] "Catherine Ariel" [filler/] maraming salamat po at [filler/] hingin ko rin po [eng_start/] miss [eng_end/] "Kathryn" ang petsa ng inyong kapanganakan	c286961d-ae39-47ee-b3f2-638e83b26080
305673	2	0:01:53.338	00:00:4.586	[filler/] posible kayang magsimula na ang [eng_start/] package [eng_end/] bukas [n_s/]	bb02ec34-8c9d-4b42-aeac-dcba0840c77b
331081	2	0:02:36.442	00:00:14.617	[n_s/] [filler/] [eng_start/] Ma'am [eng_end/] ganito po kasi [filler/] Kailangan ko na po kasi malaman yung bagong numero [filler/] di naman din po kasi importante yun [eng_start/] ma'am [eng_end/] [filler/] kung gusto niyo po [eng_start/] ma'am [eng_end/] kayo na lang din po pumili ng numero ko	8cf42327-97da-498d-a619-6c5bec59e5a3
305663	1	0:00:28.747	00:00:12.998	[eng_start/] okay [eng_end/] maraming salamat po at [filler/] hihingiin ko rin ang petsa ng iyong kapanganakan [eng_start/] sir [eng_end/] [filler/] maraming salamat po at ang huli po ay hihilingin ko rin po na kumpirmahin ninyo ang [eng_start/] address [eng_end/] na nasa [eng_start/] system [eng_end/] po	bb02ec34-8c9d-4b42-aeac-dcba0840c77b
331076	2	0:01:58.954	00:00:7.254	[filler/] Sige po [eng_start/] ma'am [eng_end/] [filler/] Gusto ko naman po sanang mag-proceed dun sa [eng_start/] plan [eng_end/] [filler/] Tanong ko lang po sana kung kailan po ikakabit yung [eng_start/] landline [eng_end/] [n_s/]	8cf42327-97da-498d-a619-6c5bec59e5a3
338228	1	0:02:20.894	00:00:8.616	[filler/] Sige po at walang problema [filler/] Gusto niyo po bang [filler/] matanggap ang halaga bilang diskwento sa ibang [filler/] bago sa bagong kontrata niyo po	f60f43d3-6ab5-48c4-8eb1-ac2061e3661d
305680	1	0:03:06.525	00:00:7.743	Maraming salamat po sa pagtawag muli sa amin at [filler/] meron pa po ba kayong ibang mga katanungan	bb02ec34-8c9d-4b42-aeac-dcba0840c77b
331066	2	0:00:05.280	00:00:7.483	[filler/] [eng_start/] Hello [eng_end/] magandang araw [filler/] [filler/] manghihingi lang din po sana ako ng [eng_start/] information [eng_end/] tungkol po sa [eng_start/] landline service [eng_end/] [n_s/]	8cf42327-97da-498d-a619-6c5bec59e5a3
331074	1	0:01:17.606	00:00:14.176	[filler/] Bago ko po sagutin yan pwede ko po bang malaman kung may inaasahan po kayong [filler/] [filler/] tawag mula sa ibang bansa o [filler/] may gagawin po ba kayong pagtawag sa ibang bansa	8cf42327-97da-498d-a619-6c5bec59e5a3
338214	1	0:00:17.481	00:00:6.860	[filler/] [filler/] Sige po matutulungan ko po kayo tungkol dito hingin ko lang po sana yung numero ng inyong telepono	f60f43d3-6ab5-48c4-8eb1-ac2061e3661d
338213	2	0:00:07.265	00:00:12.134	[n_s/] Magandang araw po [filler/] gusto ko lang po sana malaman kung magkano yun presyo ng pag-trade niyo ng bagong telepono ko [n_s/]	f60f43d3-6ab5-48c4-8eb1-ac2061e3661d
305450	2	0:03:23.353	00:00:2.585	[filler/] Sa ngayon po [eng_start/] ma'am [eng_end/] wala na po [filler/] Maraming salamat po	c286961d-ae39-47ee-b3f2-638e83b26080
305681	1	0:03:17.387	00:00:8.993	Walang anuman po maraming salamat din sa pagtawag sa amin at [filler/] muli magandang araw po sa inyo paalam din po	bb02ec34-8c9d-4b42-aeac-dcba0840c77b
331068	2	0:00:20.125	00:00:3.179	Opo meron na po para sa [eng_start/] internet service [eng_end/]	8cf42327-97da-498d-a619-6c5bec59e5a3
305438	2	0:01:28.869	00:00:2.373	[filler/] Kulang po kasi yun [eng_start/] ma'am [eng_end/] [filler/]	c286961d-ae39-47ee-b3f2-638e83b26080
305679	2	0:03:06.332	00:00:10.806	[filler/] Sige naunawaan ko naman yun [n_s/] [filler/] Wala naman na akong ibang katanungan maraming salamat "Karen"	bb02ec34-8c9d-4b42-aeac-dcba0840c77b
331072	2	0:00:53.545	00:00:5.245	[n_s/] [filler/] hindi ko po alam [eng_start/] ma'am [eng_end/] [filler/] paano ko po ito malalaman [eng_start/] ma'am [eng_end/]	8cf42327-97da-498d-a619-6c5bec59e5a3
338222	2	0:01:13.157	00:00:9.899	[filler/] Bago medyo bago naman po ito kakabili ko lang may [eng_start/] cover [eng_end/] din po ito [n_s/]	f60f43d3-6ab5-48c4-8eb1-ac2061e3661d
305443	1	0:02:24.932	00:00:6.321	[n_s/] Walang anuman po maraming salamat din at [filler/] meron pa po ba kayong ibang kailangan [eng_start/] ma'am [eng_end/]	c286961d-ae39-47ee-b3f2-638e83b26080
338239	2	0:04:04.088	00:00:6.032	[n_s/] Magandang araw din po paalam [n_s/]	f60f43d3-6ab5-48c4-8eb1-ac2061e3661d
305444	2	0:02:31.856	00:00:10.694	[filler/] [eng_start/] ma'am [eng_end/] kasi po [filler/] hindi ko po mahanap ang pinakabagong [eng_start/] invoice [eng_end/] at hiling ko sana na ipa- inyong muli niyong ipadala ito uli [n_s/]	c286961d-ae39-47ee-b3f2-638e83b26080
338224	1	0:01:31.103	00:00:21.398	[filler/] [eng_start/] Okay [eng_end/] po bale ang ang tantiya po namin sa halaga [filler/] meron po kasi kaming [filler/] bale naka-set na tantiya ito po ay [filler/] limang libo sa pinakamababa pong halaga at ang pinaka mataas po na presyo ay [filler/] umaabot po ng [filler/] walong libong piso po	f60f43d3-6ab5-48c4-8eb1-ac2061e3661d
338226	1	0:01:58.470	00:00:16.308	[filler/] Para po sa eksaktong halaga mas maganda po sana [eng_start/] or [eng_end/] papayuhan ko po kayo na pumunta sa isang tindahan para malaman po natin o eksakto talaga ang halaga Ngayon iminumungkahi ko po na pwede niyo ring ipadala ang telepono kung saan po sasabihin po ang presyo ng [eng_start/] trade in [eng_end/] sa kalaunan	f60f43d3-6ab5-48c4-8eb1-ac2061e3661d
331083	2	0:02:55.907	00:00:2.647	Yung maling yung ano lang po madaling tandaan po [eng_start/] mam [eng_end/]	8cf42327-97da-498d-a619-6c5bec59e5a3
305435	1	0:00:58.224	00:00:9.927	[eng_start/] Okay [eng_end/] sige po maraming salamat po sa lahat ng impormasyon "Kathryn" itatanong ko lang po kung aling mga bansa ang interesado po kayong gamitin ang [filler/] [eng_start/] I. D. D. package [eng_end/]	c286961d-ae39-47ee-b3f2-638e83b26080
306019	2	0:01:35.225	00:00:4.192	[filler/] Mas gusto ko sanang malaman at interesado sana ako dun sa [eng_start/] data [eng_end/]	e15a3822-3849-4ac2-afd2-e426d888c1ee
310082	1	0:01:26.495	00:00:6.536	[filler/] Para naman po sa [filler/] pag-order [eng_start/] online [eng_end/] hindi naman po masyadong matagal po ang pag-aantay	9591d37d-3d5f-470b-81ab-f93624f58b92
335270	1	0:00:30.289	00:00:11.706	Maraming salamat at ano po ang inyong buong pangalan maraming salamat "Binibining Jane" ano po ang petsa ng inyong kapanganakan	57f44268-fbf9-4616-868e-0768e637f0e6
335275	1	0:00:57.076	00:00:17.346	Ayan maraming salamat po sa impormasyon [filler/] [eng_start/] ma'am [eng_end/] may bisa pa rin po ang kontrata sa loob ng anim na buwan at tanungin ko lang po kung gusto niyo pong pahabain ang kontrata ngayon dahil meron po kayong makukuhang promosyonal na [eng_start/] package [eng_end/] para po sa mga tapat na [eng_start/] customer [eng_end/]	57f44268-fbf9-4616-868e-0768e637f0e6
310079	2	0:01:07.280	00:00:3.506	Oo naman salamat [filler/] paano ko pala matatanggap ang [eng_start/] upgrade [eng_end/]	9591d37d-3d5f-470b-81ab-f93624f58b92
306008	2	0:00:07.986	00:00:8.993	[eng_start/] Hi [eng_end/] "Karen" [n_s/] magandang umaga [filler/] [n_s/] Gusto ko sanang makatanggap ng mas marami pang impormasyon tungkol sa mga [n_s/] [eng_start/] plan [eng_end/] [n_s/] magagamit sa [n_s/] [uni/]	e15a3822-3849-4ac2-afd2-e426d888c1ee
306020	1	0:01:39.289	00:00:8.076	[filler/] Sige sige po at [filler/] gaano niyo po ba kadalas gagamitin ang [filler/] inyong [eng_start/] data [eng_end/] ba- batay po sa inyong pagtatantiya po	e15a3822-3849-4ac2-afd2-e426d888c1ee
376059	2	0:01:30.997	00:00:7.006	[filler/] Ano kayang mga plano mo ng bukod sa pagpunta [n_s/]	227c3108-ed81-4c42-b6f9-988f503fcc43
331070	1	0:00:28.035	00:00:6.263	Maraming salamat ho maaari ko rin po bang makuha ang [eng_start/] address [eng_end/] ng inyong tirahan	8cf42327-97da-498d-a619-6c5bec59e5a3
376070	1	0:03:04.382	00:00:8.448	Bale sa oras na matapos ang inyong kontrata pwede niyo pwede po kayong mamili ng bagong telepono na aangkop po sa bagong [eng_start/] network [eng_end/]	227c3108-ed81-4c42-b6f9-988f503fcc43
305452	2	0:03:31.228	00:00:2.539	Maraming salamat po [eng_start/] ma'am [eng_end/] paalam po	c286961d-ae39-47ee-b3f2-638e83b26080
376068	1	0:02:47.090	00:00:9.322	Tama po ba [filler/] ngayon ipapaalam ko lang po sa inyo na hindi po ito angkop sa telepono [filler/] niyo para po sa bagong [eng_start/] network [eng_end/] na [eng_start/] five [eng_end/]	227c3108-ed81-4c42-b6f9-988f503fcc43
338225	2	0:01:53.161	00:00:7.146	[n_s/] [filler/] Pano ko po malalaman yung eksaktong halaga po [n_s/]	f60f43d3-6ab5-48c4-8eb1-ac2061e3661d
335288	2	0:03:23.049	00:00:10.604	Ayan [filler/] maraming salamat sa [filler/] iyong serbisyo [filler/] sa ngayon ay [eng_start/] okay [eng_end/] na ako at wala na akong iba pang kailangan	57f44268-fbf9-4616-868e-0768e637f0e6
310088	1	0:02:16.985	00:00:11.394	[filler/] para po diyan ay nakadepende po ito sa uri ng [filler/] [eng_start/] phone plan [eng_end/] po na inyong [filler/] kukunin pero kadalasan ay [filler/] pagitan po ng dalawa hanggang [filler/] tatlong taon po	9591d37d-3d5f-470b-81ab-f93624f58b92
335273	1	0:00:47.359	00:00:5.387	Maraming salamat at maaari niyo po bang kumpirmahin ang [eng_start/] address [eng_end/] na nasa [eng_start/] system [eng_end/]	57f44268-fbf9-4616-868e-0768e637f0e6
376057	2	0:01:05.927	00:00:9.638	[filler/] [filler/] [eng_start/] Block ten lot eight "Sampaloc Street Paranaque City" [eng_end/]	227c3108-ed81-4c42-b6f9-988f503fcc43
310080	1	0:01:10.792	00:00:9.520	[filler/] Para po sa [eng_start/] upgrade [eng_end/] [filler/] nais ko pong ipaliwanag na pwede po kayong pumunta sa tindahan o di po kaya ay [filler/] pwede nyong i-redeem ang [eng_start/] upgrade [eng_end/] po [eng_start/] online [eng_end/]	9591d37d-3d5f-470b-81ab-f93624f58b92
338218	2	0:00:43.356	00:00:4.885	[eng_start/] "June" fifteen nineteen ninety-eight [eng_end/] po [n_s/]	f60f43d3-6ab5-48c4-8eb1-ac2061e3661d
338212	1	0:00:00.000	00:00:8.335	Magandang araw at maraming salamat sa pagtawag sa [eng_start/] "Telco [eng_end/] Pilipinas" Ito po si "Sandra" Ano pong maitutulong ko	f60f43d3-6ab5-48c4-8eb1-ac2061e3661d
305671	2	0:01:41.067	00:00:5.064	Maraming salamat "Karen" sa impormasyon [filler/] kailan kaya magsisimula ang bagong [eng_start/] subscription [eng_end/]	bb02ec34-8c9d-4b42-aeac-dcba0840c77b
305448	2	0:03:09.262	00:00:3.856	[filler/] Tanong ko lang po [eng_start/] ma'am [eng_end/] kung kailan ko po matatanggap ang [eng_start/] invoice [eng_end/] [n_s/]	c286961d-ae39-47ee-b3f2-638e83b26080
310095	1	0:03:11.835	00:00:16.857	Nako maraming salamat din po sa oras ninyo at [filler/] binabati ko po kayo ng isang magandang araw [filler/] nais ko din po kayong imbitahan na sumali sa isang [eng_start/] customer satisfaction survey [eng_end/] ito po ay [eng_start/] survey [eng_end/] tungkol sa kasiyahan ng [eng_start/] customer [eng_end/] pagkatapos po ng ating tawag	9591d37d-3d5f-470b-81ab-f93624f58b92
306026	1	0:02:57.200	00:00:13.011	[filler/] Ganun po ba Sige [filler/] sa pagkakaalam ko pwede naman pong [filler/] [n_s/] pababain yung [filler/] inyong [filler/] [eng_start/] regular [eng_end/] na "U. K. " [eng_start/] data allowance [eng_end/] para sa tagal ng inyong pamamalagi po	e15a3822-3849-4ac2-afd2-e426d888c1ee
376072	1	0:03:22.370	00:00:11.379	[filler/] Walang anuman po Bale [filler/] nag-aalok po kami ngayon ng [eng_start/] "five [eng_end/] G. " na telepono sa pangunahing [eng_start/] brand [eng_end/] po na "Samsung" at ang pinakamainam po na -im [filler/] opsyon dito ay tignan niyo po ito [eng_start/] online [eng_end/]	227c3108-ed81-4c42-b6f9-988f503fcc43
338221	1	0:00:58.660	00:00:11.822	[filler/] [filler/] Maraming salamat sa impormasyon ngayon [filler/] matanong ko lang po sana kung ano po ba ang kondisyon ng inyong telepono sa ngayon	f60f43d3-6ab5-48c4-8eb1-ac2061e3661d
331065	1	0:00:00.000	00:00:5.212	Maraming salamat sa pagtawag sa [eng_start/] "Telco Unlimited" [eng_end/] ako po si "Cecilia" ano pong maitutulong ko sa inyo	8cf42327-97da-498d-a619-6c5bec59e5a3
